"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","9,095 ms (-0%)","9,095 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","9,095 ms (-0%)","9,095 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","9,095 ms (-0%)","9,095 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-1","9,095 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-2","9,095 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"container-0","9,095 ms (-0%)","0.0 ms (0%)","1"
" org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.catalina.core.StandardServer.await ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"   java.lang.Thread.sleep[native] ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"MVStore background writer nio:C:/Users/Costi/Desktop/MusicStore/instruments.db.mv.db","9,095 ms (-0%)","108 ms (-0%)","1"
" org.h2.mvstore.MVStore$BackgroundWriterThread.run ()","9,095 ms (-0%)","108 ms (-0%)","1"
"  java.lang.Object.wait[native] ()","8,987 ms (-0%)","0.0 ms (0%)","2"
"  Self time","108 ms (-0%)","108 ms (-0%)","1"
"http-nio-8080-BlockPoller","9,095 ms (-0%)","0.0 ms (0%)","1"
" org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"  sun.nio.ch.SelectorImpl.select ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-1","9,095 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-2","9,095 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","9,095 ms (-0%)","0.0 ms (0%)","1"
