"Name","Live Bytes","Live Objects"
"byte[]","9,328,296 B (23.1%)","85,519 (10.2%)"
"java.lang.Object[]","4,818,776 B (11.9%)","122,282 (14.6%)"
"java.util.TreeMap$Entry","3,043,280 B (7.5%)","76,082 (9.1%)"
"java.lang.String","1,899,648 B (4.7%)","79,152 (9.5%)"
"java.lang.reflect.Method","1,886,456 B (4.7%)","21,437 (2.6%)"
"int[]","1,691,928 B (4.2%)","5,962 (0.7%)"
"char[]","1,564,824 B (3.9%)","5,673 (0.7%)"
"java.lang.Class","1,549,560 B (3.8%)","13,007 (1.6%)"
"java.util.concurrent.ConcurrentHashMap$Node","1,204,672 B (3%)","37,646 (4.5%)"
"java.io.ObjectStreamClass$WeakClassKey","1,192,000 B (2.9%)","37,250 (4.5%)"
"java.util.LinkedHashMap$Entry","564,640 B (1.4%)","14,116 (1.7%)"
"java.util.TreeMap$KeyIterator","558,112 B (1.4%)","17,441 (2.1%)"
"java.util.HashMap$Node[]","543,536 B (1.3%)","6,316 (0.8%)"
"java.lang.Class[]","510,800 B (1.3%)","22,749 (2.7%)"
"java.util.HashMap$Node","507,264 B (1.3%)","15,852 (1.9%)"
"java.util.TreeMap","412,224 B (1%)","8,588 (1%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","408,760 B (1%)","465 (0.1%)"
"java.util.LinkedHashMap","374,696 B (0.9%)","6,691 (0.8%)"
"java.lang.StackTraceElement","322,272 B (0.8%)","6,714 (0.8%)"
"java.lang.Object","308,736 B (0.8%)","19,296 (2.3%)"
"java.util.TreeMap$EntryIterator","281,664 B (0.7%)","8,802 (1.1%)"
"org.h2.mvstore.MVMap[]","262,160 B (0.6%)","1 (0%)"
"java.lang.reflect.Field","252,288 B (0.6%)","3,504 (0.4%)"
"java.util.Collections$UnmodifiableCollection$1","219,864 B (0.5%)","9,161 (1.1%)"
"java.io.SerialCallbackContext","214,704 B (0.5%)","8,946 (1.1%)"
"javax.management.openmbean.CompositeDataSupport","204,336 B (0.5%)","8,514 (1%)"
"java.lang.Class$ReflectionData","137,984 B (0.3%)","2,156 (0.3%)"
"java.lang.String[]","136,992 B (0.3%)","4,119 (0.5%)"
"java.util.TreeMap$EntrySet","136,832 B (0.3%)","8,552 (1%)"
"java.util.TreeMap$KeySet","136,336 B (0.3%)","8,521 (1%)"
"java.lang.reflect.Method[]","132,936 B (0.3%)","2,101 (0.3%)"
"java.lang.ref.SoftReference","132,920 B (0.3%)","3,323 (0.4%)"
"java.lang.invoke.MemberName","130,896 B (0.3%)","2,727 (0.3%)"
"java.lang.reflect.Constructor","126,288 B (0.3%)","1,754 (0.2%)"
"java.util.HashMap","122,400 B (0.3%)","2,550 (0.3%)"
"java.lang.management.ThreadInfo","116,064 B (0.3%)","1,116 (0.1%)"
"java.util.concurrent.ConcurrentHashMap","109,568 B (0.3%)","1,712 (0.2%)"
"java.util.ArrayList","104,304 B (0.3%)","4,346 (0.5%)"
"org.springframework.core.MethodClassKey","103,224 B (0.3%)","4,301 (0.5%)"
"java.lang.Integer","102,704 B (0.3%)","6,419 (0.8%)"
"long[]","102,184 B (0.3%)","239 (0%)"
"java.lang.StackTraceElement[]","95,320 B (0.2%)","2,219 (0.3%)"
"javax.management.openmbean.CompositeData[]","88,880 B (0.2%)","3,384 (0.4%)"
"java.lang.invoke.MethodType","84,560 B (0.2%)","2,114 (0.3%)"
"java.io.ObjectStreamClass","81,720 B (0.2%)","681 (0.1%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","67,840 B (0.2%)","2,120 (0.3%)"
"org.springframework.core.ResolvableType","62,784 B (0.2%)","1,308 (0.2%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","62,480 B (0.2%)","1,562 (0.2%)"
"short[]","52,784 B (0.1%)","33 (0%)"
"org.apache.tomcat.util.modeler.AttributeInfo","51,312 B (0.1%)","1,069 (0.1%)"
"org.springframework.core.annotation.AnnotationAttributes","51,072 B (0.1%)","798 (0.1%)"
"java.lang.invoke.ResolvedMethodName","47,616 B (0.1%)","1,984 (0.2%)"
"java.util.LinkedList$Node","44,904 B (0.1%)","1,871 (0.2%)"
"java.util.LinkedList","43,616 B (0.1%)","1,363 (0.2%)"
"java.lang.ref.ReferenceQueue","43,296 B (0.1%)","1,353 (0.2%)"
"ch.qos.logback.classic.Logger","42,576 B (0.1%)","887 (0.1%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment","42,240 B (0.1%)","1,056 (0.1%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","41,856 B (0.1%)","1,308 (0.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]","40,408 B (0.1%)","1,056 (0.1%)"
"java.util.LinkedHashSet","39,520 B (0.1%)","2,470 (0.3%)"
"java.lang.Long","38,592 B (0.1%)","1,608 (0.2%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","37,824 B (0.1%)","1,576 (0.2%)"
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference","37,104 B (0.1%)","773 (0.1%)"
"sun.reflect.annotation.AnnotationInvocationHandler","36,624 B (0.1%)","1,526 (0.2%)"
"java.lang.ref.WeakReference","33,696 B (0.1%)","1,053 (0.1%)"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition","32,032 B (0.1%)","182 (0%)"
"java.lang.reflect.Constructor[]","31,712 B (0.1%)","1,366 (0.2%)"
"java.lang.invoke.LambdaForm$Name","31,424 B (0.1%)","982 (0.1%)"
"java.lang.Package$VersionInfo","30,000 B (0.1%)","750 (0.1%)"
"sun.reflect.generics.tree.TypeArgument[]","29,352 B (0.1%)","1,576 (0.2%)"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","29,064 B (0.1%)","519 (0.1%)"
"org.h2.table.Column","27,896 B (0.1%)","317 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync","26,976 B (0.1%)","562 (0.1%)"
"java.lang.StringBuilder","26,952 B (0.1%)","1,123 (0.1%)"
"java.lang.Package","26,464 B (0.1%)","827 (0.1%)"
